ts,data_presenceSensor_3,data_temperatureSensor_0,data_humiditySensor_1
2022-02-18 08:15:06,0,18.4,70
2022-02-18 08:20:06,0,18.4,70
2022-02-18 08:25:06,0,18.4,70
2022-02-18 08:30:06,0,18.4,70
2022-02-18 08:35:06,0,18.3,70
2022-02-18 08:40:06,0,18.4,70
2022-02-18 08:45:06,0,18.3,70
2022-02-18 08:50:06,0,18.4,70
2022-02-18 08:55:06,0,18.3,70
2022-02-18 09:00:06,0,18.3,70
2022-02-18 09:05:06,0,18.4,70
2022-02-18 09:10:06,0,18.4,70
2022-02-18 09:15:06,0,18.3,70
2022-02-18 09:20:06,0,18.3,70
2022-02-18 09:25:06,0,18.4,70
2022-02-18 09:30:06,0,18.3,70
2022-02-18 09:35:06,0,18.3,70
2022-02-18 09:40:06,0,18.3,70
2022-02-18 09:45:06,0,18.3,70
2022-02-18 09:50:06,0,18.4,70.5
2022-02-18 09:55:06,0,18.4,70.5
2022-02-18 10:00:06,0,18.4,71
2022-02-18 10:05:06,0,18.4,71.5
2022-02-18 10:10:06,0,18.4,72.5
2022-02-18 10:15:06,0,18.4,73.5
2022-02-18 10:20:06,1,18.4,74
2022-02-18 10:25:05,0,18.4,74.5
2022-02-18 10:30:07,0,18.5,75
2022-02-18 10:35:05,0,18.5,75
2022-02-18 10:40:06,0,18.4,75
2022-02-18 10:45:06,0,18.5,75.5
2022-02-18 10:50:06,0,18.5,75.5
2022-02-18 10:55:05,0,18.5,75.5
2022-02-18 11:00:06,0,18.5,75.5
2022-02-18 11:05:05,0,18.5,75.5
2022-02-18 11:10:06,0,18.5,75.5
2022-02-18 11:15:05,0,18.5,75.5
2022-02-18 11:20:05,0,18.5,75.5
2022-02-18 11:25:05,0,18.5,75.5
2022-02-18 11:30:05,0,18.5,75.5
2022-02-18 11:35:05,0,18.5,75.5
2022-02-18 11:40:05,0,18.5,75
2022-02-18 11:45:05,0,18.5,75
2022-02-18 11:50:05,0,18.5,75
2022-02-18 11:55:05,0,18.5,75
2022-02-18 12:00:06,0,18.4,74.5
2022-02-18 12:05:05,0,18.4,74.5
2022-02-18 12:10:05,0,18.4,74.5
2022-02-18 12:15:05,0,18.5,74.5
2022-02-18 12:20:05,0,18.5,74
2022-02-18 12:25:05,0,18.5,74
2022-02-18 12:30:05,0,18.5,74
2022-02-18 12:35:05,0,18.5,74
2022-02-18 12:40:05,1,18.5,73.5
2022-02-18 12:45:05,0,18.5,73.5
2022-02-18 12:50:05,0,18.5,73.5
2022-02-18 12:55:05,0,18.5,73.5
2022-02-18 13:00:05,0,18.5,73
2022-02-18 13:05:05,0,18.5,73
2022-02-18 13:10:05,0,18.4,73
2022-02-18 13:15:05,0,18.4,73
2022-02-18 13:20:05,1,18.4,73
2022-02-18 13:25:05,0,18.5,73
2022-02-18 13:30:05,0,18.4,73
2022-02-18 13:35:05,0,18.4,73
2022-02-18 13:40:05,4,18.4,73
2022-02-18 13:45:05,0,18.5,73
2022-02-18 13:50:05,0,18.5,73
2022-02-18 13:55:05,0,18.5,72.5
2022-02-18 14:00:05,0,18.4,72.5
2022-02-18 14:05:05,1,18.5,72.5
2022-02-18 14:10:05,4,18.5,72.5
2022-02-18 14:15:05,0,18.5,72.5
2022-02-18 14:20:05,0,18.5,72.5
2022-02-18 14:25:05,0,18.5,72
2022-02-18 14:30:05,0,18.5,72
2022-02-18 14:35:05,0,18.5,72
2022-02-18 14:40:05,0,18.5,72
2022-02-18 14:45:05,0,18.5,71.5
2022-02-18 14:50:05,0,18.5,71.5
2022-02-18 14:55:05,0,18.5,71.5
2022-02-18 15:00:05,0,18.5,71.5
2022-02-18 15:05:05,0,18.5,71.5
2022-02-18 15:10:05,0,18.5,71.5
2022-02-18 15:15:05,0,18.5,71.5
2022-02-18 15:20:05,0,18.6,71
2022-02-18 15:25:05,0,18.5,71
2022-02-18 15:30:05,0,18.5,71
2022-02-18 15:35:05,0,18.6,71
2022-02-18 15:40:05,0,18.6,71
2022-02-18 15:45:05,0,18.6,71
2022-02-18 15:50:05,0,18.6,71
2022-02-18 15:55:05,0,18.6,71
2022-02-18 16:00:05,0,18.6,70.5
2022-02-18 16:05:05,0,18.6,70.5
2022-02-18 16:10:05,1,18.6,70.5
2022-02-18 16:15:05,0,18.6,70.5
2022-02-18 16:20:05,2,18.6,70.5
2022-02-18 16:25:05,3,18.6,70.5
2022-02-18 16:30:05,0,18.6,70.5
2022-02-18 16:35:05,0,18.6,70.5
2022-02-18 16:40:05,0,18.6,70.5
2022-02-18 16:45:05,0,18.6,70.5
2022-02-18 16:50:05,0,18.6,70.5
2022-02-18 16:55:05,0,18.6,70.5
2022-02-18 17:00:06,0,18.6,70.5
2022-02-18 17:05:05,0,18.6,70.5
2022-02-18 17:10:05,0,18.6,70.5
2022-02-18 17:15:05,0,18.6,70.5
2022-02-18 17:20:05,0,18.6,70.5
2022-02-18 17:25:05,0,18.5,70
2022-02-18 17:30:05,0,18.5,70
2022-02-18 17:35:05,0,18.5,70
2022-02-18 17:40:05,0,18.5,70
2022-02-18 17:45:05,0,18.5,69.5
2022-02-18 17:50:05,0,18.5,69.5
2022-02-18 17:55:06,0,18.5,69.5
2022-02-18 18:00:05,0,18.5,69
2022-02-18 18:05:05,0,18.5,69
2022-02-18 18:10:05,0,18.4,69
2022-02-18 18:15:05,0,18.4,68.5
2022-02-18 18:20:05,0,18.4,68.5
2022-02-18 18:25:05,0,18.4,68.5
2022-02-18 18:30:05,0,18.4,68
2022-02-18 18:35:05,0,18.4,68
2022-02-18 18:40:05,0,18.4,68
2022-02-18 18:45:05,0,18.4,67.5
2022-02-18 18:50:05,0,18.4,67.5
2022-02-18 18:55:05,0,18.4,67.5
2022-02-18 19:00:05,0,18.4,67.5
2022-02-18 19:05:05,0,18.4,67
2022-02-18 19:10:05,0,18.3,67
2022-02-18 19:15:05,0,18.4,67
2022-02-18 19:20:05,0,18.3,67
2022-02-18 19:25:05,0,18.3,66.5
2022-02-18 19:30:05,0,18.3,66.5
2022-02-18 19:35:05,0,18.3,66.5
2022-02-18 19:40:05,0,18.3,66
2022-02-18 19:45:05,0,18.3,66
2022-02-18 19:50:05,0,18.3,66
2022-02-18 19:55:05,0,18.3,65.5
2022-02-18 20:00:05,0,18.3,65.5
2022-02-18 20:05:05,1,18.3,65.5
2022-02-18 20:10:05,0,18.3,65
2022-02-18 20:15:05,0,18.3,65
2022-02-18 20:20:05,0,18.3,65
2022-02-18 20:25:05,0,18.3,65
2022-02-18 20:30:05,0,18.3,65
2022-02-18 20:35:05,0,18.3,64.5
2022-02-18 20:40:05,0,18.3,64.5
2022-02-18 20:45:05,0,18.3,64.5
2022-02-18 20:50:05,0,18.3,64.5
2022-02-18 20:55:05,0,18.3,64.5
2022-02-18 21:00:05,0,18.3,64.5
2022-02-18 21:05:06,0,18.3,64.5
2022-02-18 21:10:05,0,18.3,64.5
2022-02-18 21:15:05,0,18.3,64.5
2022-02-18 21:20:05,0,18.3,64.5
2022-02-18 21:25:05,0,18.3,64.5
2022-02-18 21:30:05,0,18.3,64
2022-02-18 21:35:05,0,18.3,64
2022-02-18 21:40:05,0,18.3,64
2022-02-18 21:45:05,0,18.3,64
2022-02-18 21:50:05,0,18.3,64
2022-02-18 21:55:05,0,18.3,64
2022-02-18 22:00:05,5,18.2,64
2022-02-18 22:05:05,4,18.3,64
2022-02-18 22:10:05,0,18.3,64
2022-02-18 22:15:05,0,18.3,64
2022-02-18 22:20:05,0,18.3,64
2022-02-18 22:25:05,0,18.3,63.5
2022-02-18 22:30:05,0,18.4,63.5
2022-02-18 22:35:05,4,18.3,63.5
2022-02-18 22:40:05,3,18.3,63.5
2022-02-18 22:45:05,3,18.3,63
2022-02-18 22:50:05,1,18.4,63
2022-02-18 22:55:05,1,18.3,63
2022-02-18 23:00:05,9,18.3,63
2022-02-18 23:05:05,5,18.4,62.5
2022-02-18 23:10:05,0,18.4,62.5
2022-02-18 23:15:05,0,18.3,62.5
2022-02-18 23:20:05,0,18.3,62.5
2022-02-19 00:25:05,0,18.2,61
2022-02-19 00:30:05,0,18.2,61
2022-02-19 00:35:05,0,18.2,61
2022-02-19 00:40:05,0,18.1,60.5
2022-02-19 00:45:05,0,18.2,60.5
2022-02-19 00:50:05,0,18.1,60.5
2022-02-19 00:55:05,0,18.1,60.5
2022-02-19 01:00:05,0,18.1,60
2022-02-19 01:05:05,0,18.1,60
2022-02-19 01:10:05,0,18.1,60
2022-02-19 01:15:05,0,18.1,60
2022-02-19 01:20:05,0,18.1,59.5
2022-02-19 01:25:05,0,18.1,59.5
2022-02-19 01:30:05,0,18.1,59.5
2022-02-19 01:35:05,0,18.1,59.5
2022-02-19 01:40:05,0,18,59.5
2022-02-19 01:45:05,0,18,59
2022-02-19 01:50:05,0,18.1,59
2022-02-19 01:55:05,0,18,59
2022-02-19 02:00:05,0,18,59
2022-02-19 02:05:05,3,18,59
2022-02-19 02:10:05,0,18.1,59
2022-02-19 02:15:05,0,18.1,59
2022-02-19 02:20:05,0,18.1,59
2022-02-19 02:25:05,0,18,58.5
2022-02-19 02:30:05,0,18,58.5
2022-02-19 02:35:05,0,18,58.5
2022-02-19 02:40:05,0,18,58.5
2022-02-19 02:45:05,0,17.9,58.5
2022-02-19 02:50:05,0,17.9,58
2022-02-19 02:55:05,0,17.9,58
2022-02-19 03:00:05,0,17.8,58
2022-02-19 03:05:05,0,17.9,58
2022-02-19 03:10:05,0,17.9,57.5
2022-02-19 03:15:05,0,17.9,57.5
2022-02-19 03:20:05,0,17.8,57.5
2022-02-19 03:25:05,0,17.8,57.5
2022-02-19 03:30:05,0,17.8,57.5
2022-02-19 03:35:05,0,17.8,57
2022-02-19 03:40:05,0,17.8,57
2022-02-19 03:45:05,0,17.8,57
2022-02-19 03:50:05,0,17.7,57
2022-02-19 03:55:05,0,17.7,56.5
2022-02-19 04:00:05,0,17.7,56.5
2022-02-19 04:05:05,0,17.7,56.5
2022-02-19 04:10:05,0,17.7,56.5
2022-02-19 04:15:05,0,17.7,56.5
2022-02-19 04:20:05,0,17.7,56
2022-02-19 04:25:05,0,17.6,56
2022-02-19 04:30:05,0,17.6,56
2022-02-19 04:35:05,0,17.6,56
2022-02-19 04:40:05,0,17.6,56
2022-02-19 04:45:05,0,17.6,56
2022-02-19 04:50:05,0,17.6,55.5
2022-02-19 04:55:05,0,17.6,55.5
2022-02-19 05:00:05,0,17.6,55.5
2022-02-19 05:05:05,0,17.5,55.5
2022-02-19 05:10:05,0,17.6,55.5
2022-02-19 05:15:05,0,17.5,55.5
2022-02-19 05:20:05,0,17.5,55.5
2022-02-19 05:25:05,0,17.5,55.5
2022-02-19 05:30:05,0,17.5,55
2022-02-19 05:35:05,0,17.5,55
2022-02-19 05:40:05,0,17.5,55
2022-02-19 05:45:05,0,17.5,55
2022-02-19 05:50:05,0,17.5,55
2022-02-19 05:55:05,0,17.5,55
2022-02-19 06:00:05,0,17.4,55
2022-02-19 06:05:05,0,17.4,55
2022-02-19 06:10:04,0,17.4,55
2022-02-19 06:15:04,0,17.4,55
2022-02-19 06:20:04,0,17.4,55
2022-02-19 06:25:05,0,17.4,55
2022-02-19 06:30:04,0,17.4,55
2022-02-19 06:35:04,0,17.4,55
2022-02-19 06:40:04,0,17.3,54.5
2022-02-19 06:45:04,0,17.3,54.5
2022-02-19 06:50:04,0,17.3,54.5
2022-02-19 06:55:04,0,17.3,54.5
2022-02-19 07:00:04,0,17.3,54.5
2022-02-19 07:05:04,0,17.3,55
2022-02-19 07:10:04,0,17.4,55
2022-02-19 07:15:04,0,17.3,54.5
2022-02-19 07:20:04,0,17.3,54.5
2022-02-19 07:25:04,0,17.3,54.5
2022-02-19 07:30:04,0,17.3,54.5
2022-02-19 07:35:04,0,17.3,54.5
2022-02-19 07:40:04,0,17.3,54.5
2022-02-19 07:45:04,0,17.3,54.5
2022-02-19 07:50:04,0,17.3,54.5
2022-02-19 07:55:04,0,17.3,54.5
2022-02-19 08:00:04,0,17.3,55
2022-02-19 08:05:04,0,17.3,55
2022-02-19 08:10:04,0,17.3,55
2022-02-19 08:15:04,0,17.3,55.5
2022-02-19 08:20:04,0,17.3,57
2022-02-19 08:25:05,0,17.3,58
2022-02-19 08:30:04,0,17.3,58.5
2022-02-19 08:35:04,0,17.3,59
2022-02-19 08:40:04,0,17.3,59
2022-02-19 08:45:04,0,17.4,59
2022-02-19 08:50:04,0,17.3,59
2022-02-19 08:55:04,0,17.3,59
2022-02-19 09:00:04,0,17.3,59
2022-02-19 09:05:04,0,17.4,59
2022-02-19 09:10:04,0,17.4,58.5
2022-02-19 09:15:04,0,17.4,58.5
2022-02-19 09:20:04,0,17.4,58.5
2022-02-19 09:25:04,0,17.4,58.5
2022-02-19 09:30:04,0,17.4,58.5
2022-02-19 09:35:04,0,17.4,58.5
2022-02-19 09:40:04,0,17.4,58.5
